timestamp,range,ICMP_ping,ICMP_loss,ICMP_response_time,P_Inbound_packets_discarded,EX_Inbound_packets_discarded,P_Inbound_packets_with_errors,EX_Inbound_packets_with_errors,P_Bits_received,EX_Bits_received,P_Outbound_packets_discarded,EX_Outbound_packets_discarded,P_Outbound_packets_with_errors,EX_Outbound_packets_with_errors,P_Bits_sent,EX_Bits_sent,P_Speed,IN_Speed,EX_Speed,P_Operational_status,EX_Operational_status,P_Interface_type,IN_Interface_type,EX_Interface_type,Device_uptime,SNMP_Availability,IN_Inbound_packets_discarded,IN_Inbound_packets_with_errors,IN_Bits_received,IN_Outbound_packets_discarded,IN_Outbound_packets_with_errors,IN_Bits_sent,IN_Operational_status,class
1556642700,119,1,0,0.014,0,0,0,0,160,44456,0,0,0,0,208,5632,1000000000,1000000000,1000000000,1,1,6,6,6,892,1,0,0,4664,0,0,44624,1,NE
1556642880,119,1,0,0.017,0,0,0,0,152,101856,0,0,0,0,200,10800,1000000000,1000000000,1000000000,1,1,6,6,6,1058,1,0,0,9776,0,0,101480,1,NE
1556643060,119,1,0,0.0115,0,0,0,1,152,152056,0,0,0,0,208,11240,1000000000,1000000000,1000000000,1,1,6,6,6,1224,1,0,0,9168,0,0,152728,1,NE
1556643240,119,1,0,0.0181,0,0,0,1,160,169096,0,0,0,0,200,15944,1000000000,1000000000,1000000000,1,1,6,6,6,1388,1,0,4,13960,0,0,171296,1,NE
1556643420,119,1,0,0.0081,0,0,0,1,152,82168,0,0,0,0,200,31896,1000000000,1000000000,1000000000,1,1,6,6,6,1553,1,0,2,28112,0,0,79768,1,NE
1556643600,119,1,0,0.0136,0,0,0,6,176,258224,0,0,0,0,200,9040,1000000000,1000000000,1000000000,1,1,6,6,6,1717,1,0,1,6328,0,0,258608,1,NE
1556643780,119,1,0,0.0125,0,0,0,1,192,173424,0,0,0,0,240,18640,1000000000,1000000000,1000000000,1,1,6,6,6,1882,1,0,7,16112,0,0,173528,1,F
1556643960,119,1,0,0.0172,0,0,0,1,152,65296,0,0,0,0,200,34928,1000000000,1000000000,1000000000,1,1,6,6,6,2048,1,0,8,31792,0,0,65440,1,F
1556644140,119,1,0,0.0172,0,0,0,0,224,104528,0,0,0,0,240,28392,1000000000,1000000000,1000000000,1,1,6,6,6,2213,1,0,6,25176,0,0,104800,1,NE
1556644320,119,1,0,0.0141,0,0,0,1,144,191984,0,0,0,0,200,29112,1000000000,1000000000,1000000000,1,1,6,6,6,2373,1,0,5,23488,0,0,187416,1,NE
1556644500,119,1,0,0.0132,0,0,0,1,184,188632,0,0,0,0,216,20344,1000000000,1000000000,1000000000,1,1,6,6,6,2533,1,0,4,16320,0,0,193504,1,NE
1556644680,119,1,0,0.0193,0,0,0,0,136,154888,0,0,0,0,200,18272,1000000000,1000000000,1000000000,1,1,6,6,6,2694,1,0,3,14920,0,0,159584,1,NE
1556644860,119,1,0,0.009,0,0,0,1,152,116024,0,0,0,0,200,50208,1000000000,1000000000,1000000000,1,1,6,6,6,2854,1,0,10,43256,0,0,113832,1,F
1556645040,119,1,0,0.02,0,0,0,1,216,76384,0,0,0,0,248,9128,1000000000,1000000000,1000000000,1,1,6,6,6,3017,1,0,2,5672,0,0,75744,1,F
1556645220,119,1,0,0.0161,0,0,0,3,168,161896,0,0,0,0,208,4712,1000000000,1000000000,1000000000,1,1,6,6,6,3179,1,0,0,2064,0,0,162144,1,F
1556645400,119,1,0,0.012,0,0,0,2,160,226664,0,0,0,0,208,5456,1000000000,1000000000,1000000000,1,1,6,6,6,3342,1,0,0,1832,0,0,225224,1,F
1556645580,119,1,0,0.0129,0,0,0,0,160,120976,0,0,0,0,200,2808,1000000000,1000000000,1000000000,1,1,6,6,6,3512,1,0,0,1728,0,0,121448,1,F
1556645760,119,1,0,0.01,0,0,0,3,168,153744,0,0,0,0,200,32192,1000000000,1000000000,1000000000,1,1,6,6,6,3670,1,0,2,26328,0,0,153536,1,NE
1556645940,119,1,0,0.0118,0,0,0,2,152,235296,0,0,0,0,200,15912,1000000000,1000000000,1000000000,1,1,6,6,6,3832,1,0,0,11616,0,0,235384,1,NE
1556646120,119,1,0,0.013,0,0,0,0,152,146592,0,0,0,0,200,8576,1000000000,1000000000,1000000000,1,1,6,6,6,3998,1,0,0,7480,0,0,146776,1,NE
1556646300,119,1,0,0.0115,0,0,0,0,192,21248,0,0,0,0,216,1448,1000000000,1000000000,1000000000,1,1,6,6,6,4167,1,0,0,816,0,0,21488,1,NE
1556646480,119,1,0,0.0132,0,0,0,0,168,78376,0,0,0,0,208,4496,1000000000,1000000000,1000000000,1,1,6,6,6,4333,1,0,0,3976,0,0,74512,1,NE
1556646660,119,1,0,0.0111,0,0,0,0,176,170656,0,0,0,0,216,1320,1000000000,1000000000,1000000000,1,1,6,6,6,4499,1,0,0,808,0,0,174936,1,NE
1556646840,119,1,0,0.0117,0,0,0,0,152,91736,0,0,0,0,208,1488,1000000000,1000000000,1000000000,1,1,6,6,6,4667,1,0,0,992,0,0,91976,1,NE
1556647020,119,1,0,0.0124,0,0,0,0,160,129192,0,0,0,0,208,1168,1000000000,1000000000,1000000000,1,1,6,6,6,4835,1,0,0,632,0,0,122824,1,NE
1556647200,119,1,0,0.0321,0,0,0,0,152,97704,0,0,0,0,200,1248,1000000000,1000000000,1000000000,1,1,6,6,6,5002,1,0,0,824,0,0,104536,1,NE
1556647380,119,1,0,0.018,0,0,0,0,184,131824,0,0,0,0,208,2952,1000000000,1000000000,1000000000,1,1,6,6,6,5170,1,0,0,1840,0,0,132000,1,NE
1556647560,119,1,0,0.0125,0,0,0,0,184,456,0,0,0,0,232,1088,1000000000,1000000000,1000000000,1,1,6,6,6,5342,1,0,0,744,0,0,696,1,NE
1556647740,119,1,0,0.007,0,0,0,0,160,464,0,0,0,0,208,1224,1000000000,1000000000,1000000000,1,1,6,6,6,5513,1,0,0,824,0,0,696,1,NE
1556647920,119,1,0,0.0086,0,0,0,0,160,472,0,0,0,0,208,3152,1000000000,1000000000,1000000000,1,1,6,6,6,5684,1,0,0,2864,0,0,712,1,NE
1556648100,119,1,0,0.0076,0,0,0,0,152,392,0,0,0,0,224,1120,1000000000,1000000000,1000000000,1,1,6,6,6,5854,1,0,0,656,0,0,648,1,NE
1556648280,119,1,0,0.0102,0,0,0,0,176,544,0,0,0,0,216,1240,1000000000,1000000000,1000000000,1,1,6,6,6,6026,1,0,0,920,0,0,768,1,NE
1556648460,119,1,0,0.0094,0,0,0,0,168,744,0,0,0,0,216,4592,1000000000,1000000000,1000000000,1,1,6,6,6,6196,1,0,0,4088,0,0,944,1,NE
1556648640,119,1,0,0.0106,0,0,0,0,176,65088,0,0,0,0,208,960,1000000000,1000000000,1000000000,1,1,6,6,6,6364,1,0,0,616,0,0,60232,1,NE
1556648820,119,1,0,0.0135,0,0,0,0,176,30688,0,0,0,0,224,1224,1000000000,1000000000,1000000000,1,1,6,6,6,6533,1,0,0,760,0,0,36056,1,NE
1556649000,119,1,0,0.0112,0,0,0,0,160,130432,0,0,0,0,208,1296,1000000000,1000000000,1000000000,1,1,6,6,6,6702,1,0,0,808,0,0,130648,1,NE
1556649180,119,1,0,0.0098,0,0,0,0,160,66760,0,0,0,0,224,992,1000000000,1000000000,1000000000,1,1,6,6,6,6871,1,0,0,584,0,0,66976,1,NE
1556649360,119,1,0,0.0157,0,0,0,0,176,150432,0,0,0,0,224,1952,1000000000,1000000000,1000000000,1,1,6,6,6,7039,1,0,0,1448,0,0,150736,1,NE
1556649540,119,1,0,0.0083,0,0,0,0,160,157264,0,0,0,0,208,1544,1000000000,1000000000,1000000000,1,1,6,6,6,7208,1,0,0,1048,0,0,157376,1,NE
1556649720,119,1,0,0.0079,0,0,0,0,160,36448,0,0,0,0,208,968,1000000000,1000000000,1000000000,1,1,6,6,6,7380,1,0,0,616,0,0,36704,1,NE
1556649900,119,1,0,0.011,0,0,0,0,184,456,0,0,0,0,208,4480,1000000000,1000000000,1000000000,1,1,6,6,6,7552,1,0,0,4056,0,0,624,1,NE
1556650080,119,1,0,0.0144,0,0,0,0,160,408,0,0,0,0,208,1144,1000000000,1000000000,1000000000,1,1,6,6,6,7725,1,0,0,800,0,0,688,1,NE
1556650260,119,1,0,0.008,0,0,0,0,160,448,0,0,0,0,224,2408,1000000000,1000000000,1000000000,1,1,6,6,6,7898,1,0,0,2024,0,0,672,1,NE
1556650440,119,1,0,0.011,0,0,0,0,160,1512,0,0,0,0,208,2576,1000000000,1000000000,1000000000,1,1,6,6,6,8069,1,0,0,2216,0,0,1744,1,NE
1556650620,119,1,0,0.0081,0,0,0,0,176,81208,0,0,0,0,224,1360,1000000000,1000000000,1000000000,1,1,6,6,6,8240,1,0,0,896,0,0,81496,1,NE
1556650800,119,1,0,0.0174,0,0,0,0,184,544,0,0,0,0,232,1080,1000000000,1000000000,1000000000,1,1,6,6,6,8412,1,0,0,712,0,0,776,1,NE
1556650980,119,1,0,0.017,0,0,0,0,184,528,0,0,0,0,208,2744,1000000000,1000000000,1000000000,1,1,6,6,6,8585,1,0,0,1712,0,0,712,1,NE
1556651160,119,1,0,0.0153,0,0,0,0,160,504,0,0,0,0,208,1216,1000000000,1000000000,1000000000,1,1,6,6,6,8759,1,0,0,816,0,0,688,1,NE
1556651340,119,1,0,0.01,0,0,0,0,200,448,0,0,0,0,264,1112,1000000000,1000000000,1000000000,1,1,6,6,6,8931,1,0,0,768,0,0,768,1,NE
1556651520,119,1,0,0.0131,0,0,0,0,152,400,0,0,0,0,208,1000,1000000000,1000000000,1000000000,1,1,6,6,6,9104,1,0,0,672,0,0,624,1,NE
1556651700,119,1,0,0.0118,0,0,0,0,160,424,0,0,0,0,208,4480,1000000000,1000000000,1000000000,1,1,6,6,6,9275,1,0,0,4080,0,0,640,1,NE
1556651880,119,1,0,0.0105,0,0,0,0,168,464,0,0,0,0,208,1192,1000000000,1000000000,1000000000,1,1,6,6,6,9447,1,0,0,792,0,0,704,1,NE
1556652060,119,1,0,0.0128,0,0,0,0,152,400,0,0,0,0,208,960,1000000000,1000000000,1000000000,1,1,6,6,6,9620,1,0,0,648,0,0,632,1,NE
1556652240,119,1,0,0.0092,0,0,0,0,184,480,0,0,0,0,232,4024,1000000000,1000000000,1000000000,1,1,6,6,6,9791,1,0,0,3592,0,0,664,1,NE
1556652420,119,1,0,0.0083,0,0,0,0,160,62112,0,0,0,0,208,1192,1000000000,1000000000,1000000000,1,1,6,6,6,9963,1,0,0,752,0,0,62384,1,NE
1556652600,119,1,0,0.0077,0,0,0,0,168,448,0,0,0,0,216,928,1000000000,1000000000,1000000000,1,1,6,6,6,10135,1,0,0,624,0,0,696,1,NE
1556652780,119,1,0,0.0083,0,0,0,0,168,480,0,0,0,0,216,1024,1000000000,1000000000,1000000000,1,1,6,6,6,10307,1,0,0,696,0,0,672,1,NE
1556652960,119,1,0,0.0169,0,0,0,0,184,448,0,0,0,0,232,1248,1000000000,1000000000,1000000000,1,1,6,6,6,10480,1,0,0,872,0,0,744,1,NE
1556653140,119,1,0,0.0093,0,0,0,0,184,416,0,0,0,0,248,944,1000000000,1000000000,1000000000,1,1,6,6,6,10653,1,0,0,632,0,0,680,1,NE
1556653320,119,1,0,0.0086,0,0,0,0,152,400,0,0,0,0,208,1048,1000000000,1000000000,1000000000,1,1,6,6,6,10826,1,0,0,736,0,0,632,1,NE
1556653500,119,1,0,0.008,0,0,0,0,184,488,0,0,0,0,216,1208,1000000000,1000000000,1000000000,1,1,6,6,6,10999,1,0,0,808,0,0,736,1,NE
1556653680,119,1,0,0.0217,0,0,0,0,160,416,0,0,0,0,200,3992,1000000000,1000000000,1000000000,1,1,6,6,6,11171,1,0,0,3680,0,0,664,1,NE
1556653860,119,1,0,0.0436,0,0,0,0,160,408,0,0,0,0,216,1208,1000000000,1000000000,1000000000,1,1,6,6,6,11344,1,0,0,776,0,0,632,1,NE
1556654040,119,1,0,0.0068,0,0,0,0,160,512,0,0,0,0,208,1800,1000000000,1000000000,1000000000,1,1,6,6,6,11517,1,0,0,1280,0,0,736,1,NE
1556654220,119,1,0,0.0097,0,0,0,0,176,536,0,0,0,0,216,1032,1000000000,1000000000,1000000000,1,1,6,6,6,11689,1,0,0,656,0,0,712,1,NE
1556654400,119,1,0,0.0087,0,0,0,0,168,408,0,0,0,0,208,1040,1000000000,1000000000,1000000000,1,1,6,6,6,11862,1,0,0,664,0,0,720,1,NE
1556654580,119,1,0,0.0095,0,0,0,0,160,584,0,0,0,0,224,2896,1000000000,1000000000,1000000000,1,1,6,6,6,12035,1,0,0,1848,0,0,776,1,NE
1556654760,119,1,0,0.0307,0,0,0,0,168,56168,0,0,0,0,208,37952,1000000000,1000000000,1000000000,1,1,6,6,6,12198,1,0,4,34608,0,0,56368,1,NE
1556654940,119,1,0,0.015,0,0,0,1,184,112216,0,0,0,0,224,16456,1000000000,1000000000,1000000000,1,1,6,6,6,12359,1,0,1,12736,0,0,112352,1,NE
1556655120,119,1,0,0.0195,0,0,0,2,176,123360,0,0,0,0,216,3136,1000000000,1000000000,1000000000,1,1,6,6,6,12520,1,0,0,1224,0,0,123680,1,NE
1556655300,119,1,0,0.0131,0,0,0,0,208,29344,0,0,0,0,224,11384,1000000000,1000000000,1000000000,1,1,6,6,6,12682,1,0,3,10192,0,0,29344,1,F
1556655480,119,1,0,0.0108,0,0,0,0,176,192,0,0,0,0,200,704,1000000000,1000000000,1000000000,1,1,6,6,6,12849,1,0,0,0,0,0,392,1,F
1556655660,119,1,0,0.0147,0,0,0,0,160,184,0,0,0,0,224,320,1000000000,1000000000,1000000000,1,1,6,6,6,13018,1,0,0,0,0,0,448,1,F
1556655840,119,1,0,0.0084,0,0,0,0,160,192,0,0,0,0,208,320,1000000000,1000000000,1000000000,1,1,6,6,6,13188,1,0,0,0,0,0,400,1,F
1556656020,119,1,0,0.0107,0,0,0,0,152,192,0,0,0,0,200,328,1000000000,1000000000,1000000000,1,1,6,6,6,13359,1,0,0,0,0,0,400,1,F
1556656200,119,1,0,0.0117,0,0,0,0,184,224,0,0,0,0,208,320,1000000000,1000000000,1000000000,1,1,6,6,6,13531,1,0,0,0,0,0,400,1,F
1556656380,119,1,0,0.0112,0,0,0,0,264,272,0,0,0,0,312,3192,1000000000,1000000000,1000000000,1,1,6,6,6,13702,1,0,0,2920,0,0,880,1,NE
1556656560,119,1,0,0.0197,0,0,0,0,152,29536,0,0,0,0,200,44272,1000000000,1000000000,1000000000,1,1,6,6,6,13869,1,0,2,38704,0,0,31232,1,NE
1556656740,119,1,0,0.0091,0,0,0,1,152,193720,0,0,0,0,208,27712,1000000000,1000000000,1000000000,1,1,6,6,6,14033,1,0,1,21456,0,0,192848,1,NE
1556656920,119,1,0,0.0238,0,0,0,3,152,243168,0,0,0,0,200,7840,1000000000,1000000000,1000000000,1,1,6,6,6,14193,1,0,0,3248,0,0,240640,1,NE
1556657100,119,1,0,0.0099,0,0,0,1,160,133912,0,0,0,0,200,13456,1000000000,1000000000,1000000000,1,1,6,6,6,14355,1,0,4,11544,0,0,138912,1,NE
1556657280,119,1,0,0.0134,0,0,0,0,192,98520,0,0,0,0,232,23608,1000000000,1000000000,1000000000,1,1,6,6,6,14523,1,0,12,22616,0,0,95984,1,NE
1556657460,119,1,0,0.0103,0,0,0,0,152,67576,0,0,0,0,216,24208,1000000000,1000000000,1000000000,1,1,6,6,6,14688,1,0,12,23432,0,0,67728,1,NE
1556657640,119,1,0,0.0214,0,0,0,1,152,63472,0,0,0,0,208,30736,1000000000,1000000000,1000000000,1,1,6,6,6,14853,1,0,6,28712,0,0,63040,1,NE
1556657820,119,1,0,0.0142,0,0,0,0,152,72272,0,0,0,0,168,4704,1000000000,1000000000,1000000000,1,1,6,6,6,15017,1,0,3,3000,0,0,73088,1,NE
1556658000,119,1,0,0.0328,0,0,0,0,160,832,0,0,0,0,208,4712,1000000000,1000000000,1000000000,1,1,6,6,6,15183,1,0,0,3672,0,0,1064,1,NE
1556658180,119,1,0,0.0359,0,0,0,0,176,888,0,0,0,0,240,4248,1000000000,1000000000,1000000000,1,1,6,6,6,15350,1,0,0,2600,0,0,1048,1,NE
1556658360,119,1,0,0.012,0,0,0,0,160,3928,0,0,0,0,208,3224,1000000000,1000000000,1000000000,1,1,6,6,6,15515,1,0,0,2496,0,0,4160,1,NE
1556658540,119,1,0,0.0114,0,0,0,1,160,53664,0,0,0,0,208,8560,1000000000,1000000000,1000000000,1,1,6,6,6,15679,1,0,1,7096,0,0,54120,1,NE
1556658720,119,1,0,0.0265,0,0,0,1,152,62656,0,0,0,0,200,34048,1000000000,1000000000,1000000000,1,1,6,6,6,15846,1,0,1,31512,0,0,62496,1,NE
1556658900,119,1,0,0.0111,0,0,0,1,152,50816,0,0,0,0,200,19192,1000000000,1000000000,1000000000,1,1,6,6,6,16010,1,0,5,15384,0,0,50960,1,NE
1556659080,119,1,0,0.0184,0,0,0,0,152,46880,0,0,0,0,200,41816,1000000000,1000000000,1000000000,1,1,6,6,6,16177,1,0,17,38920,0,0,46208,1,NE
1556659260,119,1,0,0.0117,0,0,0,0,160,28600,0,0,0,0,208,30880,1000000000,1000000000,1000000000,1,1,6,6,6,16341,1,0,10,30144,0,0,29672,1,NE
1556659440,119,1,0,0.0197,0,0,0,0,176,43448,0,0,0,0,208,27304,1000000000,1000000000,1000000000,1,1,6,6,6,16506,1,0,11,25112,0,0,43704,1,NE
1556659620,119,1,0,0.0103,0,0,0,0,152,2064,0,0,0,0,200,25224,1000000000,1000000000,1000000000,1,1,6,6,6,16673,1,0,12,23888,0,0,2232,1,NE
1556659800,119,1,0,0.0181,0,0,0,0,152,2832,0,0,0,0,208,31776,1000000000,1000000000,1000000000,1,1,6,6,6,16838,1,0,13,30752,0,0,2952,1,NE
1556659980,119,1,0,0.0306,0,0,0,0,152,80976,0,0,0,0,200,26024,1000000000,1000000000,1000000000,1,1,6,6,6,17002,1,0,15,23784,0,0,81248,1,NE
1556660160,119,1,0,0.0249,0,0,0,0,192,16152,0,0,0,0,264,47064,1000000000,1000000000,1000000000,1,1,6,6,6,17168,1,0,16,45392,0,0,16384,1,F
1556660340,119,1,0,0.0142,0,0,0,0,160,3992,0,0,0,0,208,59520,1000000000,1000000000,1000000000,1,1,6,6,6,17333,1,0,8,56808,0,0,4224,1,F
1556660520,119,1,0,0.0114,0,0,0,0,176,1504,0,0,0,0,216,44656,1000000000,1000000000,1000000000,1,1,6,6,6,17500,1,0,6,40440,0,0,1768,1,F
1556660700,119,1,0,0.0383,0,0,0,0,176,4416,0,0,0,0,232,4896,1000000000,1000000000,1000000000,1,1,6,6,6,17665,1,0,0,3104,0,0,4592,1,F
1556660880,119,1,0,0.0131,0,0,0,0,160,180800,0,0,0,0,192,3144,1000000000,1000000000,1000000000,1,1,6,6,6,17828,1,0,0,2384,0,0,180976,1,F
1556661060,119,1,0,0.0094,0,0,0,2,152,339288,0,0,0,0,200,4024,1000000000,1000000000,1000000000,1,1,6,6,6,17986,1,0,0,2136,0,0,339392,1,F
1556661240,119,1,0,0.0116,0,0,0,2,160,126680,0,0,0,0,200,3288,1000000000,1000000000,1000000000,1,1,6,6,6,18149,1,0,0,1264,0,0,126728,1,F
1556661420,119,1,0,0.0085,0,0,0,0,160,1344,0,0,0,0,208,14200,1000000000,1000000000,1000000000,1,1,6,6,6,18317,1,0,1,13328,0,0,1568,1,NE
1556661600,119,1,0,0.0219,0,0,0,0,168,624,0,0,0,0,208,16504,1000000000,1000000000,1000000000,1,1,6,6,6,18483,1,0,1,15784,0,0,848,1,NE
1556661780,119,1,0,0.0114,0,0,0,0,160,864,0,0,0,0,232,52096,1000000000,1000000000,1000000000,1,1,6,6,6,18648,1,0,2,49336,0,0,1032,1,NE
1556661960,119,1,0,0.0088,0,0,0,1,152,157456,0,0,0,0,200,14128,1000000000,1000000000,1000000000,1,1,6,6,6,18811,1,0,1,11616,0,0,157592,1,NE
1556662140,119,1,0,0.0281,0,0,0,0,152,5992,0,0,0,0,200,20952,1000000000,1000000000,1000000000,1,1,6,6,6,18979,1,0,7,19600,0,0,6208,1,NE
1556662320,119,1,0,0.0131,0,0,0,0,160,31096,0,0,0,0,208,23296,1000000000,1000000000,1000000000,1,1,6,6,6,19145,1,0,9,22016,0,0,31248,1,F
1556662500,119,1,0,0.0246,0,0,0,1,176,69056,0,0,0,0,224,1432,1000000000,1000000000,1000000000,1,1,6,6,6,19313,1,0,0,592,0,0,60824,1,F
