timestamp,range,ICMP_ping,ICMP_loss,ICMP_response_time,P_Inbound_packets_discarded,EX_Inbound_packets_discarded,P_Inbound_packets_with_errors,EX_Inbound_packets_with_errors,P_Bits_received,EX_Bits_received,P_Outbound_packets_discarded,EX_Outbound_packets_discarded,P_Outbound_packets_with_errors,EX_Outbound_packets_with_errors,P_Bits_sent,EX_Bits_sent,P_Speed,IN_Speed,EX_Speed,P_Operational_status,EX_Operational_status,P_Interface_type,IN_Interface_type,EX_Interface_type,Device_uptime,SNMP_availability,IN_Inbound_packets_discarded,IN_Inbound_packets_with_errors,IN_Bits_received,IN_Outbound_packets_discarded,IN_Outbound_packets_with_errors,IN_Bits_sent,IN_Operational_status,class
1556642700,140,1,0,0.0082,0,0,0,0,160,50232,0,0,0,0,208,4352,1000000000,1000000000,1000000000,1,1,6,6,6,891,1,0,0,3408,0,0,50504,1,NE
1556642880,140,1,0,0.0341,0,0,0,0,160,136008,0,0,0,0,200,6272,1000000000,1000000000,1000000000,1,1,6,6,6,1057,1,0,0,5168,0,0,136288,1,NE
1556643060,140,1,0,0.0101,0,0,0,0,152,139416,0,0,0,0,200,38744,1000000000,1000000000,1000000000,1,1,6,6,6,1221,1,0,3,35488,0,0,139536,1,NE
1556643240,140,1,0,0.0111,0,0,0,1,152,133184,0,0,0,0,200,28864,1000000000,1000000000,1000000000,1,1,6,6,6,1385,1,0,6,26232,0,0,131296,1,NE
1556643420,140,1,0,0.016,0,0,0,1,152,177032,0,0,0,0,216,24008,1000000000,1000000000,1000000000,1,1,6,6,6,1550,1,0,4,22384,0,0,179304,1,NE
1556643600,140,1,0,0.0137,0,0,0,0,152,39640,0,0,0,0,208,52096,1000000000,1000000000,1000000000,1,1,6,6,6,1716,1,0,14,47680,0,0,40672,1,NE
1556643780,140,1,0,0.0142,0,0,0,1,192,133936,0,0,0,0,232,18184,1000000000,1000000000,1000000000,1,1,6,6,6,1880,1,0,8,15168,0,0,134848,1,F
1556643960,140,1,0,0.0089,0,0,0,2,152,118856,0,0,0,0,200,2032,1000000000,1000000000,1000000000,1,1,6,6,6,2046,1,0,0,72,0,0,117232,1,F
1556644140,140,1,0,0.033,0,0,0,1,208,149608,0,0,0,0,272,9552,1000000000,1000000000,1000000000,1,1,6,6,6,2209,1,0,1,7448,0,0,149888,1,NE
1556644320,140,1,0,0.0142,0,0,0,2,160,182144,0,0,0,0,208,35528,1000000000,1000000000,1000000000,1,1,6,6,6,2370,1,0,4,30488,0,0,182240,1,NE
1556644500,140,1,0,0.0156,0,0,0,1,168,115192,0,0,0,0,216,34232,1000000000,1000000000,1000000000,1,1,6,6,6,2531,1,0,6,29416,0,0,115352,1,NE
1556644680,140,1,0,0.0112,0,0,0,1,152,191008,0,0,0,0,192,26768,1000000000,1000000000,1000000000,1,1,6,6,6,2689,1,0,4,22880,0,0,190864,1,NE
1556644860,140,1,0,0.0283,0,0,0,3,152,217568,0,0,0,0,176,36808,1000000000,1000000000,1000000000,1,1,6,6,6,2848,1,0,1,30232,0,0,217888,1,F
1556645040,140,1,0,0.0191,0,0,0,1,208,148384,0,0,0,0,256,35200,1000000000,1000000000,1000000000,1,1,6,6,6,3009,1,0,2,31064,0,0,148536,1,F
1556645220,140,1,0,0.0165,0,0,0,0,176,57464,0,0,0,0,216,36296,1000000000,1000000000,1000000000,1,1,6,6,6,3172,1,0,9,33056,0,0,57680,1,F
1556645400,140,1,0,0.0158,0,0,0,0,152,18608,0,0,0,0,200,37880,1000000000,1000000000,1000000000,1,1,6,6,6,3337,1,0,7,33984,0,0,15408,1,F
1556645580,140,1,0,0.0104,0,0,0,0,160,3576,0,0,0,0,208,14592,1000000000,1000000000,1000000000,1,1,6,6,6,3507,1,0,4,13168,0,0,7168,1,F
1556645760,140,1,0,0.0121,0,0,0,1,160,98600,0,0,0,0,216,48480,1000000000,1000000000,1000000000,1,1,6,6,6,3665,1,0,6,42328,0,0,100608,1,NE
1556645940,140,1,0,0.0391,0,0,0,0,152,66048,0,0,0,0,200,34208,1000000000,1000000000,1000000000,1,1,6,6,6,3829,1,0,8,30128,0,0,64424,1,NE
1556646120,140,1,0,0.0095,0,0,0,0,160,65912,0,0,0,0,208,7552,1000000000,1000000000,1000000000,1,1,6,6,6,3993,1,0,5,6120,0,0,66104,1,NE
1556646300,140,1,0,0.0095,0,0,0,0,176,800,0,0,0,0,232,5600,1000000000,1000000000,1000000000,1,1,6,6,6,4161,1,0,1,4896,0,0,1032,1,NE
1556646480,140,1,0,0.0117,0,0,0,0,160,73656,0,0,0,0,208,5912,1000000000,1000000000,1000000000,1,1,6,6,6,4327,1,0,3,5424,0,0,73864,1,NE
1556646660,140,1,0,0.0213,0,0,0,0,184,456,0,0,0,0,216,9160,1000000000,1000000000,1000000000,1,1,6,6,6,4493,1,0,5,8832,0,0,704,1,NE
1556646840,140,1,0,0.0128,0,0,0,0,152,72440,0,0,0,0,200,7464,1000000000,1000000000,1000000000,1,1,6,6,6,4659,1,0,2,6792,0,0,66024,1,NE
1556647020,140,1,0,0.0126,0,0,0,0,176,59096,0,0,0,0,208,6400,1000000000,1000000000,1000000000,1,1,6,6,6,4826,1,0,5,6336,0,0,65944,1,NE
1556647200,140,1,0,0.0159,0,0,0,0,144,464,0,0,0,0,208,6208,1000000000,1000000000,1000000000,1,1,6,6,6,4996,1,0,4,5928,0,0,648,1,NE
