iter	Passed	Remaining
0	16	1640
1	21	1071
2	27	874
3	33	806
4	39	741
5	43	685
6	51	679
7	56	645
8	61	621
9	67	609
10	72	589
11	78	577
12	84	566
13	89	550
14	95	542
15	101	534
16	106	521
17	114	519
18	119	508
19	124	497
20	131	493
21	136	482
22	141	472
23	148	470
24	154	462
25	160	456
26	165	448
27	170	439
28	177	433
29	182	426
30	187	417
31	194	412
32	199	405
33	205	398
34	211	393
35	217	385
36	222	379
37	229	374
38	235	368
39	241	362
40	248	356
41	253	350
42	260	345
43	265	338
44	271	331
45	278	326
46	283	319
47	290	314
48	296	308
49	302	302
50	309	297
51	315	291
52	322	286
53	329	280
54	335	274
55	344	270
56	350	264
57	357	258
58	364	253
59	369	246
60	376	240
61	383	234
62	390	229
63	396	223
64	402	216
65	408	210
66	413	203
67	419	197
68	424	190
69	430	184
70	435	177
71	440	171
72	446	165
73	452	158
74	457	152
75	463	146
76	469	140
77	474	133
78	479	127
79	485	121
80	491	115
81	496	108
82	503	103
83	508	96
84	514	90
85	520	84
86	525	78
87	530	72
88	536	66
89	541	60
90	546	54
91	552	48
92	557	41
93	562	35
94	568	29
95	572	23
96	578	17
97	583	11
98	589	5
99	594	0
